Name,Family,Formation,Target Area,Equipment,Sections,Link,Comments
Calf Raises,N/A,,Foot/Ankle,N/A,Get Ready,,
Toe Taps,N/A,,Foot/Ankle,N/A,Get Ready,,
Point & Flex,N/A,,Foot/Ankle,N/A,Get Ready,,
Heel Toe Rocks,N/A,,Foot/Ankle,N/A,Get Ready,,
Foot & Ankle Circles,N/A,,Foot/Ankle,N/A,Get Ready,,
Mini Lunges Side to Side,Side Lunges,,Legs,N/A,Get Ready,,
Baby Gate StepOvers,,,Legs,N/A,Get Ready,,
Leg Swings Side to Side,,,Legs,N/A,Get Ready,,
Leg Sings Front to Back,,,Legs,N/A,Get Ready,,
Upper Back Round and Reach,,,Torso,N/A,Get Ready,,
Woodchop,,,Torso,N/A,Get Ready,,
Torso Rotation,,,Torso,N/A,Get Ready,,
Lateral Flexion,,,Torso,N/A,Get Ready,,
Head Tilt Side to Side,,,Head/Shoulders,N/A,Get Ready,,
Head Tilt Ear to Shoulder,,,Head/Shoulders,N/A,Get Ready,,
Arm Cricles,,,Head/Shoulders,N/A,Get Ready,,
Shoulder Circles,,,Head/Shoulders,N/A,Get Ready,,
Box Shuffle,Shuffle,Lateral,Legs,Cones/Cups,SAQ,,Lateral shuffle around a box
Box Carioca,Carioca,Lateral,Legs,Cones/Cups,SAQ,,Lateral Carioca around a box
Box Run and Shuffle,"Shuffle, Run","Lateral, Linear",Legs,Cones/Cups,SAQ,,Alternate run (linear) and shuffle (lateral) around a box
Box Run and Backpedal,"Run, Backpedal",Linear,Legs,Cones/Cups,SAQ,,"Alternate run and backpedal around a box, all linear"
Box Run,Run,Linear,Legs,Cones/Cups,SAQ,,Run around a box
Double Line Lateral Butt Kickers,Butt Kickers,Lateral,Legs,Cones/Cups,SAQ,https://education.fit4mom.com/node/5842686?context=videos,"Double line, butt kickers in a zigzag, moving laterally"
Double Line Lateral High Knees,High Knees,Lateral,Legs,Cones/Cups,SAQ,https://education.fit4mom.com/node/5842685?context=videos,"Double line, high knees in a zigzag, moving laterally"
Double Line Lateral Shuffle,Shuffle,Lateral,Legs,Cones/Cups,SAQ,https://education.fit4mom.com/node/5842683?context=videos,"Double line, shuffle in a zigzag, always on the same side"
Double Line Linear Butt Kickers,Butt Kickers,Linear,Legs,Cones/Cups,SAQ,,"Double line, butt kickers in a zigzag, facing forward"
Double Line Linear High Knees,High Knees,Linear,Legs,Cones/Cups,SAQ,,"Double line, high knees in a zigzag, facing forward"
Double Line Linear Shuffle,Shuffle,Linear,Legs,Cones/Cups,SAQ,,"Double line, shuffle in a zigzag, alt sides"
